year,month,day,title
1999,3,18,"FLAME VEIN"
2004,4,28,"FLAME VAIN+1"
2000,3,25,"THE LIVING DEAD"
2022,3,25,"天体観測(2022RerecordingVersion)"
2002,2,20,"jupiter"
2004,8,25,"ユグドラシル"
2007,12,19,"orbital period"
2012,12,15,"COSMONAUT"
2003,3,12,"ロストマン/sailingday"
2014,3,12,"RAY"
2016,2,10,"Butterflies"
2018,2,10,"BUMP OF CHICKEN PATHFINDER LIVE AT STUDIO COAST"
2025,2,10,"BUMP OF CHICKEN TOUR ホームシック衛星2024 at ARIAKE ARENA"
2019,7,10,"aurora arc"
2008,6,18,"present from you"
2013,7,3,"BUMP OF CHICKENⅠ<1999-2004>"
2013,7,3,"BUMP OF CHICKENⅡ<2005-2010>"
1999,11,25,"LAMP"
2009,11,25,"R.I.P./MerryChristmas"
2000,9,20,"ダイヤモンド"
2006,9,20,"人形劇ギルド"
2001,3,14,"天体観測"
2001,10,17,"ハルジオン"
2002,12,18,"スノースマイル"
2002,12,18,"映像作品 jupiter"
2004,3,31,"アルエ"
2004,7,7,"オンリーロンリーグローリー"
2004,12,1,"車輪の唄"
2004,12,1,"映像作品 ユグドラシル"
2005,7,21,"プラネタリウム"
2005,11,23,"supernova/カルマ"
2006,11,22,"涙のふるさと"
2007,10,24,"花の名"
2007,10,24,"メーデー"
2010,4,14,"HAPPY"
2010,4,21,"魔法の料理～君から君へ～"
2011,10,13,"宇宙飛行士への手紙/モーターサイクル"
2011,2,23,"友達の唄"
2015,5,11,"Smile"
2011,10,19,"ゼロ"
2011,10,19,"映像作品 COSMONAUT"
2012,1,18,"グッドラック"
2012,9,12,"firefly"
2015,4,22,"Hello,world!/コロニー"
2018,11,14,"話がしたいよ/シリウス/Spica"
2020,11,4,"アカシア/Gravity"
2020,11,4,"BUMP OF CHICKEN TOUR 2019 aurora ark TOKYO DOME"
2021,12,22,"なないろ"
2023,4,5,"SOUVENIR"
2023,4,5,"BUMP OF CHICKEN LIVE 2022 Silver Jubilee at Makuhari Messe"
2013,8,17,"虹を待つ人"
2014,8,1,"You were here"
2014,11,28,"ファイター"
2014,11,29,"パレード"
2016,8,17,"アリア"
2016,12,21,"アンサー"
2016,12,21,"BUMP OF CHICKEN STADIUM TOUR 2016 ""BFLY"" NISSAN STADIUM 2016/7/16,17"
2017,5,1,"リボン"
2017,7,5,"記念撮影"
2018,7,23,"望遠のマーチ"
2018,9,24,"シリウス"
2019,3,15,"Aurora"
2020,9,10,"Gravity"
2020,9,30,"アカシア"
2021,2,11,"Flare"
2021,5,18,"なないろ"
2021,11,1,"Small world"
2022,4,11,"クロノスタシス"
2022,9,29,"SOUVENIR"
2023,12,11,"Sleep Walking Orchestra"
2000,2,25,"ビデオポキール(VHS)"
2002,3,22,"ビデオポキール(DVD)"
2008,5,14,"映像作品 orbital period"
2024,12,19,"BUMP OF CHICKEN TOUR ホームシック衛星2024 at ARIAKE ARENA-DAY2-"
2024,7,31,"strawberry"
2024,9,4,"Iris"
2024,4,15,"邂逅"
2023,12,20,"BUMP OF CHICKEN TOUR 2023 be there at SAITAMA SUPER ARENA"
2023,5,24,"BUMP OF CHICKEN TOUR 2022 Silver Jubilee at Zepp Haneda(TOKYO)"
2018,8,8,"BUMP OF CHICKEN TOUR 2017-2018 PATHFINDER SAITAMA SUPER ARENA"
2016,7,13,"結成20周年Special Live｢20｣"
2015,2,4,"TOUR DOCUMENTARY BUMP OF CHICKEN｢WILLPOLIS 2014｣"
2013,3,6,"BUMP OF CHICKEN GOLD GLIDER TOUR 2012"
